,,,,,,,uk_UA,ru_RU,en_US
1,2,6,5019,,,,Декор для акваріумів,Предметы декоративного оформления аквариума,Aquarium Decor
1,2,6,5020,,,,Фільтри для акваріумів,Фильтры для аквариумов,Aquarium Filters
1,2,6,5021,,,,Гравій та підкладка для акваріумів,Гравий и грунт для аквариумов,Aquarium Gravel & Substrates
1,2,6,5023,,,,Підставки для акваріумів,Подставки для аквариумов,Aquarium Stands
1,2,6,5024,,,,Корм для риб,Корм для рыб,Fish Food
1,2,6,5079,,,,Освітлення для акваріумів,Устройства для освещения аквариумов,Aquarium Lighting
1,2,6,5161,,,,Засоби для обробки води в акваріумі,Средства для обработки аквариумной воды,Aquarium Water Treatments
1,2,6,6085,,,,Добрива для водних рослин,Удобрения для водных растений,Aquatic Plant Fertilizers
1,2,6,6403,,,,Годівниці для риб,Кормушки для рыб,Fish Feeders
1,2,6,6951,,,,Бокси для переливу в акваріумі,Переливные коробки для аквариума,Aquarium Overflow Boxes
1,2,6,500038,,,,Засоби для чищення акваріумів,Средства и инструменты для чистки аквариумов,Aquarium Cleaning Supplies
1,2,6,500062,,,,Регулятори температури для акваріумів,Терморегуляторы для аквариума,Aquarium Temperature Controllers
1,2,6,505303,,,,Трубки для акваріумів та ставків,Трубки для аквариумов и прудов,Aquarium & Pond Tubing
1,2,6,505306,,,,Сітки для риби в акваріумі,Сети для аквариумных рыб,Aquarium Fish Nets
1,2,6,505307,,,,Аератори та дифузори для акваріумів,Распылители воздуха для аквариума,Aquarium Air Stones & Diffusers
1,2,7,,,,,Товари для рептилій та амфібій,Товары для рептилий и амфибий,Reptile & Amphibian Supplies
1,2,7,5026,,,,Корм для рептилій та амфібій,Корм для рептилий и амфибий,Reptile & Amphibian Food
1,2,7,5027,,,,Аксесуари для місць проживання рептилій та амфібій,Принадлежности для террариумов,Reptile & Amphibian Habitat Accessories
1,2,7,5028,,,,Обігрів та освітлення для місць проживання рептилій та амфібій,Устройства для обогрева и освещения террариумов,Reptile & Amphibian Habitat Heating & Lighting
1,2,7,5029,,,,Місця проживання рептилій та амфібій,Террариумы,Reptile & Amphibian Habitats
1,2,7,5030,,,,Субстрати для рептилій та амфібій,Грунт для террариумов,Reptile & Amphibian Substrates
1,2,4497,,,,,Дверцята для домашніх тварин,Дверцы для домашних животных,Pet Doors
1,2,5013,,,,,Товари для маленьких тварин,Товары для мелких животных,Small Animal Supplies
1,2,5013,5014,,,,Постіль для маленьких тварин,Подстилки для небольших животных,Small Animal Bedding
1,2,5013,5015,,,,Корм для маленьких тварин,Корм для небольших животных,Small Animal Food
1,2,5013,5016,,,,Аксесуари для місць проживання маленьких тварин,Принадлежности для сред обитания небольших животных,Small Animal Habitat Accessories
1,2,5013,5017,,,,Місця проживання та клітки для маленьких тварин,Террариумы и клетки для мелких животных,Small Animal Habitats & Cages
1,2,5013,7517,,,,Ласощі для маленьких тварин,Лакомства для небольших животных,Small Animal Treats
1,2,5081,,,,,Вітаміни та добавки для домашніх тварин,Витамины и пищевые добавки для домашних животных,Pet Vitamins & Supplements
1,2,5086,,,,,Ветеринарні ліки,Лекарственные средства для домашних животных,Pet Medicine
1,2,5087,,,,,Вигульні майданчики для домашніх тварин,Манежи для домашних животных,Pet Playpens
1,2,5092,,,,,Дзвіночки та брелоки для домашніх тварин,Бубенчики и талисманы для домашних животных,Pet Bells & Charms
1,2,5093,,,,,Ідентифікаційні бирки для домашніх тварин,Номерные жетоны и бирки для домашних животных,Pet ID Tags
1,2,5144,,,,,Намордники для домашніх тварин,Намордники для домашних животных,Pet Muzzles
1,2,5145,,,,,Медичні нашийники для домашніх тварин,Ветеринарные воротники для домашних животных,Pet Medical Collars
1,2,5162,,,,,Контейнери для корму домашніх тварин,Контейнеры для корма для домашних животных,Pet Food Containers
1,2,5163,,,,,Лопатки для корму домашніх тварин,Совки для корма для домашних животных,Pet Food Scoops
1,2,6248,,,,,Засоби від блох та кліщів для домашніх тварин,Средства для лечения педикулёза у домашних животных,Pet Flea & Tick Control
1,2,6249,,,,,Повідки для домашніх тварин,Поводки для домашних животных,Pet Leashes
1,2,6250,,,,,Ошийники та ремені для домашніх тварин,Ошейники и сбруи для домашних животных,Pet Collars & Harnesses
1,2,6251,,,,,Переноски та клітки для домашніх тварин,Переноски и ящики для животных,Pet Carriers & Crates
1,2,6252,,,,,"Миски, кормушки та поїлки для домашніх тварин","Миски, кормушки и поилки для домашних животных","Pet Bowls, Feeders & Waterers"
1,2,6253,,,,,Продовжувачі для повідків домашніх тварин,Удлинители поводков для домашних животных,Pet Leash Extensions
1,2,6276,,,,,Візки для домашніх тварин,Коляски для домашних животных,Pet Strollers
1,2,6321,,,,,Системи обмеження руху домашніх тварин,Системы дрессировки домашних животных,Pet Containment Systems
1,2,6383,,,,,Товари для грумінгу домашніх тварин,Средства для ухода за домашними животными,Pet Grooming Supplies
1,2,6383,6384,,,,Машинки та тримери для стрижки волосся домашніх тварин,Триммеры для домашних животных,Pet Hair Clippers & Trimmers
1,2,6383,6385,,,,Гребінці та щітки для домашніх тварин,Щетки и расчески для домашних животных,Pet Combs & Brushes
1,2,6383,6406,,,,Шампуні та кондиціонери для домашніх тварин,Шампуни и кондиционеры для домашних животных,Pet Shampoo & Conditioner
1,2,6383,7318,,,,Лак для нігтів домашніх тварин,Лак для когтей домашних животных,Pet Nail Polish
1,2,6383,7319,,,,Інструменти для догляду за нігтями домашніх тварин,Инструменты для ухода за когтями домашних животных,Pet Nail Tools
1,2,6383,8167,,,,Фени для сушіння волосся домашніх тварин,Фены для сушки домашних животных,Pet Hair Dryers
1,2,6383,499917,,,,Серветки для домашніх тварин,Влажные салфетки для домашних животных,Pet Wipes
1,2,6383,503733,,,,Парфуми та дезодоруючі спреї для домашніх тварин,Духи и дезодорирующие спреи для домашних животных,Pet Fragrances & Deodorizing Sprays
1,2,6811,,,,,Вішалки для одягу домашніх тварин,Вешалки для одежды для домашних животных,Pet Apparel Hangers
1,2,6861,,,,,Медичні стрічки та бинти для домашніх тварин,Медицинская лента и бинты для домашних животных,Pet Medical Tape & Bandages
1,2,6973,,,,,Сходи та пандуси для домашніх тварин,Лесенки и рампы для животных,Pet Steps & Ramps
1,2,6978,,,,,Біометричні монітори для домашніх тварин,Биометрические мониторы для домашних животных,Pet Biometric Monitors
1,2,6978,6980,,,,Глюкометри для домашніх тварин,Глюкометры для домашних животных,Pet Glucose Meters
1,2,6978,6981,,,,Термометри для домашніх тварин,Термометры для домашних животных,Pet Thermometers
1,2,6978,6982,,,,Педометри для домашніх тварин,Педометры для домашних животных,Pet Pedometers
1,2,6983,,,,,Обладнання для тренування спритності домашніх тварин,Снаряжение для тренировки домашних животных,Pet Agility Equipment
1,2,7143,,,,,Килимки для мисок домашніх тварин,Коврики под миску для домашних животных,Pet Bowl Mats
1,2,7144,,,,,Засоби для догляду за порожниною рота домашніх тварин,Средства для ухода за полостью рта домашних животных,Pet Oral Care Supplies
1,2,7396,,,,,Сонцезахисні засоби для домашніх тварин,Солнцезащитные средства для домашних животных,Pet Sunscreen
1,2,8050,,,,,Краплі та змащувальні засоби для очей домашніх тварин,Глазные капли и мази для домашних животных,Pet Eye Drops & Lubricants
1,2,8068,,,,,Аптечки першої допомоги та аварійні набори для домашніх тварин,Наборы первой помощи для домашних животных,Pet First Aid & Emergency Kits
1,2,8070,,,,,Пакети для відходів домашніх тварин,Пакеты для фекалий домашних животных,Pet Waste Bags
1,2,8474,,,,,Бар'єри для тварин у автомобілі,Автомобильные барьеры для домашних животных,Vehicle Pet Barriers
1,2,8513,,,,,Підставки для мисок домашніх тварин,Подставки для мисок для домашних животных,Pet Bowl Stands
1,2,499743,,,,,Підігрівальні килимки для домашніх тварин,Электрогрелки для домашних животных,Pet Heating Pads
1,2,500026,,,,,Аксесуари для переносок та кліток для домашніх тварин,Принадлежности для переносок и ящиков,Pet Carrier & Crate Accessories
1,2,500084,,,,,Аксесуари для ліжек домашніх тварин,Принадлежности для лежанок,Pet Bed Accessories
1,2,500110,,,,,Аксесуари до підігрівальних килимків для домашніх тварин,Принадлежности для подогреваемых лежанок для домашних животных,Pet Heating Pad Accessories
1,2,502982,,,,,Диспенсери та тримачі для пакетів для відходів домашніх тварин,Ёмкости для удобного хранения и извлечения пакетов для фекалий домашних животных,Pet Waste Bag Dispensers & Holders
1,2,505297,,,,,Системи та інструменти для утилізації відходів домашніх тварин,Принадлежности для уборки фекалий домашних животных,Pet Waste Disposal Systems & Tools
1,2,505314,,,,,Прилади для дресури домашніх тварин,Товары для дрессировки домашних животных,Pet Training Aids
1,2,505314,6846,,,,Підкладки для дресури домашніх тварин,Туалетные подстилки для домашних животных,Pet Training Pads
1,2,505314,505304,,,,Тримачі для підкладок для дресури домашніх тварин,Держатели коврика для дрессировки домашних животных,Pet Training Pad Holders
1,2,505314,505311,,,,Спреї та розчини для дресури домашніх тварин,Спреи для дрессировки домашних животных,Pet Training Sprays & Solutions
1,2,505314,505313,,,,Клікери та диспенсери для ласощів для дресури домашніх тварин,Кликеры для дрессировки домашних животных и контейнеры для лакомств,Pet Training Clickers & Treat Dispensers
1,2,505811,,,,,Аксесуари для дверцят для домашніх тварин,Принадлежности для дверей с окошком для домашних животных,Pet Door Accessories
1,3237,,,,,,Живі тварини,Живые животные,Live Animals
8,,,,,,,Мистецтво та розваги,Искусство и развлечения,Arts & Entertainment
8,5709,,,,,,Вечірки та святкування,Вечеринки и праздники,Party & Celebration
8,5709,96,,,,,Товари для вечірок,Товары для вечеринок,Party Supplies
8,5709,96,1371,,,,Запрошення,Приглашения,Invitations
8,5709,96,1484,,,,Печатки для конвертів,Наклейки для запечатывания конвертов,Envelope Seals
8,5709,96,1887,,,,Картки відповідей,Карточки для ответов на приглашения,Response Cards
8,5709,96,2104,,,,Картки розташування,Именные карточки для официальных приемов,Place Cards
8,5709,96,2531,,,,Банери,Праздничные транспаранты,Banners
8,5709,96,2587,,,,Повітряні кульки,Воздушные шарики,Balloons
8,5709,96,2781,,,,Конфеті,Конфетти,Confetti
8,5709,96,2783,,,,Шумові прилади та святкові гудзики,Трещотки и свистки,Noisemakers & Party Blowers
8,5709,96,3735,,,,Питні ігри,Игры с выпивкой,Drinking Games
8,5709,96,3735,3361,,,Пивний понг,Пивной понг,Beer Pong
8,5709,96,3735,3361,3440,,Столи для пивного понгу,Столы для игры в пивной понг,Beer Pong Tables
8,5709,96,3994,,,,Піньятас,Пиньяты,Piñatas
8,5709,96,4351,,,,Аерозоль-серпантин,Баллончики с серпантином,Spray String
8,5709,96,4730,,,,Свічки на день народження,Свечи для тортов,Birthday Candles
8,5709,96,4914,,,,Феєрверки та петарди,Фейерверки и петарды,Fireworks & Firecrackers
8,5709,96,4915,,,,Бенгальські вогники,Бенгальские огни,Sparklers
8,5709,96,5043,,,,Соломинки та мішалки для напоїв,Соломинки,Drinking Straws & Stirrers
8,5709,96,5452,,,,Сувеніри для гостей на вечірці,Сувениры для вечеринок,Party Favors
8,5709,96,5452,5453,,,Весільні подарунки,Свадебные сувениры,Wedding Favors
8,5709,96,5472,,,,Тримачі для розташування карток,Держатели для табличек,Place Card Holders
8,5709,96,6311,,,,Набори для повітряних кульок,Наборы воздушных шариков,Balloon Kits
8,5709,96,6906,,,,Капелюхи для вечірок,Шляпы для вечеринок,Party Hats
8,5709,96,7007,,,,Декорації для коктейлів,Украшения для коктейлей,Cocktail Decorations
8,5709,96,7097,,,,Картонні коробки та тримачі для особливих подій,Коробки и держатели для праздничных открыток,Special Occasion Card Boxes & Holders
8,5709,96,7160,,,,Ігри для вечірок,Игры для вечеринок,Party Games
8,5709,96,8038,,,,Програми подій,Программы мероприятий,Event Programs
8,5709,96,8110,,,,Надувні декорації для вечірок,Надувные украшения для вечеринок,Inflatable Party Decorations
8,5709,96,8216,,,,Декоративні помпони,Декоративные помпоны,Decorative Pom-Poms
8,5709,96,328061,,,,Карти з порадами,Открытки для советов,Advice Cards
8,5709,96,502972,,,,Набори товарів для вечірок,Наборы для вечеринок,Party Supply Kits
8,5709,96,502981,,,,Стрічки та завіси для вечірок,Серпантин и праздничные занавески,Party Streamers & Curtains
8,5709,96,505763,,,,Облямівки для стільців,Накидки на стулья,Chair Sashes
8,5709,408,,,,,Спецефекти,Товары для спецэффектов,Special Effects
8,5709,408,409,,,,Машини для створення туману,Дымовые машины,Fog Machines
8,5709,408,410,,,,Освітлення для спецефектів,Осветительные приборы для спецэффектов,Special Effects Lighting
8,5709,408,5711,,,,Диско-кулі,Шары для дискотек,Disco Balls
8,5709,408,5967,,,,Контролери спецефектів,Системы управления спецэффектами,Special Effects Controllers
8,5709,408,503028,,,,Стійки для освітлення спецефектів,Стойки для компонентов осветительной системы,Special Effects Light Stands
8,5709,2559,,,,,Дарування подарунків,Подарки,Gift Giving
8,5709,2559,53,,,,Подарункові картки та сертифікати,Подарочные сертификаты,Gift Cards & Certificates
8,5709,2559,94,,,,Упаковка подарунків,Упаковка подарков,Gift Wrapping
8,5709,2559,94,2816,,,Папір для пакування,Обёрточная бумага,Wrapping Paper
8,5709,2559,94,5091,,,Подарункові коробки та банки,Коробки для подарков,Gift Boxes & Tins
8,5709,2559,94,5838,,,Подарункові пакети,Подарочные сумки,Gift Bags
8,5709,2559,94,6712,,,Подарунковий серветочний папір,Шёлковая бумага,Tissue Paper
8,5709,2559,94,8213,,,Подарункові етикетки та мітки,Ярлыки и наклейки для подарков,Gift Tags & Labels
8,5709,2559,95,,,,Вітальні та записні картки,Поздравительные открытки,Greeting & Note Cards
8,5709,2559,2899,,,,Свіжі квіти,Свежие цветы,Fresh Cut Flowers
8,5709,2559,5916,,,,Букети та бутоньєрки,Цветки для петлиц и бутоньерки,Corsages & Boutonnières
8,5709,2559,6100,,,,Шпильки для букетів та бутоньєрок,Булавки для цветков и бутоньерок,Corsage & Boutonnière Pins
8,5709,5868,,,,,Трофеї та нагороди,Призы и награды,Trophies & Awards
8,5709,5868,543653,,,,Трофеї,Трофеи,Trophies
8,5709,5868,543654,,,,Нагородні стрічки,Наградные розетки,Award Ribbons
8,5709,5868,543655,,,,Нагородні значки та медалі,Значки и медали,Award Pins & Medals
8,5709,5868,543656,,,,Сертифікати нагород,Наградные сертификаты,Award Certificates
8,5709,5868,543657,,,,Нагородні плакетки,Наградные плакетки,Award Plaques
8,5710,,,,,,Хобі та творчі мистецтва,Хобби и творчество,Hobbies & Creative Arts
8,5710,16,,,,,Мистецтво та ремесла,Рукоделие и хобби,Arts & Crafts
8,5710,16,504639,,,,Інструменти для мистецтва та ремесел,Инструменты для рукоделия и хобби,Art & Crafting Tools
8,5710,16,504639,4073,,,Пістолети для клею,Пистолеты для склеивания,Glue Guns
8,5710,16,504639,5137,,,Килимики для різання,Коврики для резки,Cutting Mats
8,5710,16,504639,5921,,,Світлові коробки,Столы с подсветкой,Light Boxes
8,5710,16,504639,6101,,,Булавки,Английские булавки,Safety Pins
8,5710,16,504639,6133,,,Підкладки та килимики для валяння,Коврики для валяния,Felting Pads & Mats
8,5710,16,504639,6150,,,Манекени для одягу,Манекены для платьев,Dress Forms
8,5710,16,504639,6151,,,Дроти для блокування,Леска для вязания,Blocking Wires
8,5710,16,504639,6152,,,Мати для блокування,Коврики для вышивания,Blocking Mats
8,5710,16,504639,6156,,,Наперстки та швейні долоні,Напёрстки,Thimbles & Sewing Palms
8,5710,16,504639,6156,543638,,Наперстки,Защитные колпачки для пальцев,Thimbles
8,5710,16,504639,6156,543639,,Швейні напальчники,Защитные накладки на руку для шитья,Sewing Palms
8,5710,16,504639,6158,,,"Рамки, обручі та розтяжки","Рамки, обручи и распорки для текстильного искусства","Frames, Hoops & Stretchers"
8,5710,16,504639,6159,,,Прямі шпильки,Прямые булавки,Straight Pins
8,5710,16,504639,504640,,,Інструменти для різання та тиснення в рукоділлі,Инструменты для резки бумаги и тиснения,Craft Cutting & Embossing Tools
8,5710,16,504639,504640,5136,,Ножі для рукоділля,Отделочные ножи с выдвижным лезвием,Craft Knives
8,5710,16,504639,504640,6119,,Інструменти для надрізу в рукоділлі,Устройства для рилевки и гофрирования бумаги,Craft Scoring Tools
8,5710,16,504639,504640,6122,,Ручки та стилуси для тиснення,Ручки для тиснения,Embossing Pens & Styluses
8,5710,16,504639,504640,6161,,Розпаркувачі швів,Вспарыватели швов,Seam Rippers
8,5710,16,504639,504640,6447,,Ножиці для ниток та пряжі,Резаки для нитей и пряжи,Thread & Yarn Cutters
8,5710,16,504639,504640,7340,,Інструменти для термовидавлювання,Термоинструменты для тиснения,Embossing Heat Tools
8,5710,16,504639,504640,504641,,Ножиці для рукоділля та офісу,Канцелярские ножницы и ножницы для рукоделия,Craft & Office Scissors
8,5710,16,504639,504640,504642,,Різаки та тиснільні пристрої для рукоділля,Станки для раскроя ткани и тиснения,Craft Cutters & Embossers
8,5710,16,504639,505386,,,Пристрої для виготовлення декору в рукоділлі,Принадлежности для изготовления украшений,Craft Decoration Makers
8,5710,16,504639,505387,,,Інструменти для ниток та пряжі,Инструменты для работы с пряжей и нитями,Thread & Yarn Tools
8,5710,16,504639,505387,6138,,Ручні веретена,Веретена,Hand Spindles
8,5710,16,504639,505387,6153,,"Моталки для ниток, пряжі та бобін",Моталки для нитей и пряжи,"Thread, Yarn & Bobbin Winders"
8,5710,16,504639,505387,6154,,Бобіни для ниток та пряжі,Катушки для нитей и пряжи,Thread & Yarn Spools
8,5710,16,504639,505387,6155,,Направляючі для ниток та пряжі,Направляющие для нитей и пряжи,Thread & Yarn Guides
8,5710,16,504639,505387,6163,,Ниткопроводи,Нитевдеватели,Needle Threaders
8,5710,16,504639,505387,6164,,Щітки та карти для волокна,Чесальные инструменты и машины,Fiber Cards & Brushes
8,5710,16,504639,505387,6166,,Човники для ткацтва,Ткацкие челноки,Weaving Shuttles
8,5710,16,504639,505387,6167,,Бійки для ткацтва,Ткацкие трепала,Weaving Beaters
8,5710,16,504639,505388,,,Машини для текстильних ремесел,Устройства для работы с текстилем,Textile Craft Machines
8,5710,16,504639,505388,615,,Швейні машини,Швейные машины,Sewing Machines
8,5710,16,504639,505388,6134,,Голки та машини для валяння,Иглы для валяния,Felting Needles & Machines
8,5710,16,504639,505388,6137,,Прядильні веретена,Прялки,Spinning Wheels
8,5710,16,504639,505388,505421,,Механічні ткацькі верстати,Механические ткацкие станки,Mechanical Looms
8,5710,16,504639,505388,505422,,Ручні ткацькі верстати,Ручные ткацкие станки,Hand Looms
8,5710,16,504639,505391,,,Інструменти для змішування кольорів,Инструменты для смешивания красок,Color Mixing Tools
8,5710,16,504639,505391,1653,,Ножі для палітри,Мастихины,Palette Knives
8,5710,16,504639,505391,1719,,Палітри,Палитры,Palettes
8,5710,16,504639,505392,,,Інструменти для вимірювання та маркування в рукоділлі,Инструменты для измерения и разметки,Craft Measuring & Marking Tools
8,5710,16,504639,505392,18,,Художні пензлі,Художественные кисти,Art Brushes
8,5710,16,504639,505392,2671,,Трафарети та форми для вирізання,Трафареты,Stencils & Die Cuts
8,5710,16,504639,505392,3083,,Компаси для креслення,Циркули,Drafting Compasses
8,5710,16,504639,505392,4032,,Декоративні штампи,Декоративные резиновые штампы,Decorative Stamps
8,5710,16,504639,505392,5883,,Машини для трафаретів,Трафаретные машины,Stencil Machines
8,5710,16,504639,505392,6125,,Шпатель для шовкотрафаретного друку,Резиновые валики для нанесения краски,Screen Printing Squeegees
8,5710,16,504639,505392,6126,,Ролики Бреєра,Ролики для нанесения краски,Brayer Rollers
8,5710,16,504639,505392,6157,,Лінійки та мірні прилади для текстильного мистецтва,Линейки для текстильного искусства,Textile Art Gauges & Rulers
8,5710,16,504639,505392,6160,,Маркери та лічильники для швів,Маркеры и счетчики стежков,Stitch Markers & Counters
8,5710,16,504639,505392,505420,,Інструменти для пірографії,Приспособления для выжигания по дереву,Wood Burning Tools
8,5710,16,504639,505393,,,Голки та гачки,Иглы и крючки,Needles & Hooks
8,5710,16,504639,505393,4579,,Голки для швейних машин,Иглы для швейных машин,Sewing Machine Needles
8,5710,16,504639,505393,5992,,Голки для ручного шиття,Швейные иглы,Hand-Sewing Needles
8,5710,16,504639,505393,6127,,Гачки для в'язання,Вязальные крючки,Crochet Hooks
8,5710,16,504639,505393,6139,,Спиці для в'язання,Вязальные спицы,Knitting Needles
8,5710,16,504639,505393,6168,,Замки та гачки для шаф,Крючки для вязания ковров,Latch & Locker Hooks
8,5710,16,504643,,,,Аксесуари для художніх та ремісничих інструментів,Принадлежности для инструментов для рукоделия и хобби,Art & Crafting Tool Accessories
8,5710,16,504643,4580,,,Чохли та обкладинки для машин рукоділля,Футляры и чехлы для швейных машин,Craft Machine Cases & Covers
8,5710,16,504643,5120,,,Лапки для швейних машин,Лапки для швейных машин,Sewing Machine Feet
8,5710,16,504643,6136,,,Аксесуари для прядильних веретен,Принадлежности для прялок,Spinning Wheel Accessories
8,5710,16,504643,232168,,,Леза для ножів рукоділля,Лезвия для канцелярских ножей,Craft Knife Blades
8,5710,16,504643,499918,,,Блоки для штампів,Блоки для штампов,Stamp Blocks
8,5710,16,504643,503348,,,Запасні частини для швейних машин,Запасные детали для швейных машин,Sewing Machine Replacement Parts
8,5710,16,504643,505286,,,Розкладні столи для швейних машин,Раздвижные столы для швейных машин,Sewing Machine Extension Tables
8,5710,16,505369,,,,Органайзери для рукоділля,Органайзеры для принадлежностей для рукоделия,Craft Organization
8,5710,16,505369,499971,,,Кошики та набори для шиття,Наборы для шитья и текстильных работ,Sewing Baskets & Kits
8,5710,16,505369,505394,,,"Органайзери для голок, шпильок та гачків","Органайзеры для иголок, булавок и крючков","Needle, Pin & Hook Organizers"
8,5710,16,505369,505395,,,Органайзери для ниток та пряжі,Органайзеры для пряжи и нитей,Thread & Yarn Organizers
8,5710,16,505370,,,,Набори для мистецтва та ремесел,Наборы для рукоделия и хобби,Art & Craft Kits
8,5710,16,505370,4778,,,Набори для малювання та живопису,Наборы для рисования,Drawing & Painting Kits
8,5710,16,505370,4986,,,Набори для творчості,Наборы для детского творчества,Toy Craft Kits
8,5710,16,505370,6382,,,Набори для ремонту тканини,Наборы для ремонта ткани,Fabric Repair Kits
8,5710,16,505370,6829,,,Набори для мозаїки,Наборы мозаики,Mosaic Kits
8,5710,16,505370,6989,,,Набори для виготовлення ладану,Наборы для изготовления благовоний,Incense Making Kits
8,5710,16,505370,7096,,,Набори для вишивання,Наборы для вышивания,Needlecraft Kits
8,5710,16,505370,502979,,,Набори для виготовлення ювелірних виробів,Наборы для изготовления ювелирных украшений,Jewelry Making Kits
8,5710,16,505370,503758,,,Набори для скрапбукінгу та тиснення,Наборы для изготовления фотоальбомов и тиснения,Scrapbooking & Stamping Kits
8,5710,16,505370,505374,,,Набори для виготовлення свічок,Наборы для изготовления свечей,Candle Making Kits
8,5710,16,505371,,,,Шаблони та форми для рукоділля,Шаблоны и формы для рукоделия,Crafting Patterns & Molds
8,5710,16,505371,3697,,,Швейні викрійки,Выкройки,Sewing Patterns
8,5710,16,505371,6135,,,Форми для валяння,Формы для валяния,Felting Molds
8,5710,16,505371,6999,,,Схеми для намистин,Шаблоны для вышивки бисером,Beading Patterns
8,5710,16,505371,8007,,,Форми для рукоділля,Формы для рукоделия и ремесёл,Craft Molds
8,5710,16,505371,505373,,,Взори для вишивання,Шаблоны для вышивки,Needlecraft Patterns
8,5710,16,505372,,,,Художні та ремісничі матеріали,Материалы для рукоделия и хобби,Art & Crafting Materials
8,5710,16,505372,24,,,Папір для мистецтва та ремесел,Бумага для художественных работ,Art & Craft Paper
8,5710,16,505372,24,2532,,Будівельний папір,Бумага для черчения,Construction Paper
8,5710,16,505372,24,2741,,Пергаментний папір,Велень,Vellum Paper
8,5710,16,505372,24,2967,,Папір для орігамі,Бумага для оригами,Origami Paper
8,5710,16,505372,24,6110,,Папір для трансферу,Переводная бумага,Transfer Paper
8,5710,16,505372,24,8168,,Фольга для рукоділля,Фольга для рукоделия,Craft Foil
8,5710,16,505372,24,505399,,Картон та папір для скрапбукінгу,Бумага для открыток и фотоальбомов,Cardstock & Scrapbooking Paper
8,5710,16,505372,24,505399,543510,Картон,Карточная бумага,Cardstock
